Name,Department,Overall_Rating,Difficulty,Would_Take_Again_Pct,Num_Ratings,RMP_ID,RMP_URL
Carrie Cowherd,Humanities,2.9,4.5,50%,8,1931329,https://www.ratemyprofessors.com/professor/1931329
George McNeal,Mathematics,4.2,2.4,88.8889%,37,1452659,https://www.ratemyprofessors.com/professor/1452659
Ada Vilageliu-Diaz,English,2.9,3.1,100%,16,1314071,https://www.ratemyprofessors.com/professor/1314071
Unnia Pettus,Communication,4.8,3.6,100%,13,2056841,https://www.ratemyprofessors.com/professor/2056841
Tiffany Solarin,Education,5,1.7,100%,3,2379096,https://www.ratemyprofessors.com/professor/2379096
Walda Fishman,Sociology,3.3,3,100%,11,1168412,https://www.ratemyprofessors.com/professor/1168412
Andre Hammel,Political Science,2.7,3.6,14.2857%,8,2100340,https://www.ratemyprofessors.com/professor/2100340
Reza Seyyedali,Mathematics,3.5,3.5,75%,4,2319521,https://www.ratemyprofessors.com/professor/2319521
Harry Keeling,Engineering,3.2,3.7,66.6667%,16,481193,https://www.ratemyprofessors.com/professor/481193
Jerome Kravitz,Psychology,3.9,2.1,62.5%,64,388489,https://www.ratemyprofessors.com/professor/388489
Aisha Thompson,Economics,1.6,4.2,20%,5,2344503,https://www.ratemyprofessors.com/professor/2344503
Alireza Motameni,Mathematics,2,3,0%,1,2371800,https://www.ratemyprofessors.com/professor/2371800
Fredric Kendrick,Communication,4.5,2.7,98.0392%,78,1451449,https://www.ratemyprofessors.com/professor/1451449
Danny Harris,Computer Science,3.5,3.7,0%,7,956152,https://www.ratemyprofessors.com/professor/956152
Trudy Walsh,English,5,2.3,100%,4,2055963,https://www.ratemyprofessors.com/professor/2055963
Rhone Fraser,English,3.3,3.4,50%,16,2098739,https://www.ratemyprofessors.com/professor/2098739
Claudette Bennett,Sociology,4.3,1.6,100%,12,1168595,https://www.ratemyprofessors.com/professor/1168595
Najja Al Islam,Mathematics,1.3,4.8,0%,8,1264733,https://www.ratemyprofessors.com/professor/1264733
Michael Mbanaso,Social Work,4.4,2.4,100%,5,630958,https://www.ratemyprofessors.com/professor/630958
Omari Swinton,Economics,4.4,3.1,100%,12,1168510,https://www.ratemyprofessors.com/professor/1168510
Kent Alford,Nursing,4.5,1.6,100%,8,1095854,https://www.ratemyprofessors.com/professor/1095854
