Course_Code,Section,Course_Name,Status,Instructor,Room,Days,Time
HHPL 058,1,Water Aerobics,Open,Milton Yates,BUR-POOL,"Tuesday, Thursday",9:10 AM - 10:00 AM
HHPL 058,2,Water Aerobics,Open,Milton Yates,BUR-POOL,"Tuesday, Thursday",10:10 AM - 11:00 AM
HHPL 058,3,Water Aerobics,Waitlist,Milton Yates,BUR-POOL,"Tuesday, Thursday",11:10 AM - 12:00 PM
HHPL 061,2,Pilates,Closed,Bahiyyah Muhammad,CHS-Multipurpose,"Monday, Wednesday",9:10 AM - 10:00 AM
HHPL 061,4,Pilates,Closed,Bahiyyah Muhammad,CHS-Multipurpose,"Monday, Wednesday",10:10 AM - 11:00 AM
HHPL 102,1,Human Anatomy Lecture/Lab,Closed,Justin Wilson,N/A,"Monday, Wednesday",5:40 PM - 7:30 PM
HHPL 102,2,Human Anatomy Lec/Lab,Waitlist,Naina Bhatia-Dey,BUR-2013,"Monday, Tuesday, Wednesday, Friday",9:10 AM - 10:00 AM
HHPL 102,3,Human Anatomy Lec/Lab,Waitlist,Naina Bhatia-Dey,BUR-2013,"Monday, Tuesday, Wednesday, Friday",8:10 AM - 9:00 AM
HHPL 103,1,Physiology,Closed,Naina Bhatia-Dey,BUR-2013,"Tuesday, Thursday",11:10 AM - 12:30 PM
HHPL 103,2,Physiology,Closed,Justin Wilson,N/A,"Tuesday, Thursday",5:40 PM - 7:00 PM
HHPL 104,1,Kinesiology,Waitlist,Portia Williams,BUR-2013,"Monday, Wednesday, Friday",11:10 AM - 12:00 PM
HHPL 104,2,Kinesiology,Closed,Portia Williams,BUR-2013,"Monday, Wednesday, Friday",12:10 PM - 1:00 PM
HHPL 104,3,Kinesiology,Open,Leroy Nickie,BUR-2011,"Tuesday, Thursday",7:40 PM - 9:00 PM
HHPL 107,1,Exercise Physiology,Open,Leroy Nickie,N/A,"Monday, Wednesday",5:40 PM - 7:00 PM
HHPL 107,2,Exercise Physiology,Open,Leroy Nickie,N/A,"Tuesday, Thursday",5:40 PM - 7:00 PM
HHPL 107,4,Exercise Physiology,Waitlist,Seanta Cleveland,BUR-2013,"Monday, Wednesday, Friday",1:10 PM - 2:00 PM
HHPL 111,2,Motor Learning,Open,Leroy Nickie,N/A,"Tuesday, Thursday",2:10 PM - 3:30 PM
HHPL 112,1,First Aid & CPR,Closed,Seanta Cleveland,BUR-2011,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
HHPL 112,3,First Aid & CPR,Closed,Alicia Allen,BUR-2013,Saturday,9:00 AM - 12:00 PM
HHPL 118,1,Athletic Training I,Open,Seanta Cleveland,BUR-2011,"Monday, Wednesday, Friday",8:10 AM - 9:00 AM
HHPL 123,3,"Res & Stat-HLED,LEST,HUPF",Open,Robert Lyons,BUR-2011,"Tuesday, Thursday",2:10 PM - 3:30 PM
HHPL 130,1,Exercise Physiology II,Open,Portia Williams,BUR-2013,"Monday, Wednesday, Friday",2:10 PM - 3:00 PM
HHPL 140,1,Human Growth & Development,Closed,Alexis Williams,N/A,"Monday, Wednesday, Friday",8:10 AM - 9:00 AM
HHPL 140,3,Human Growth & Development,Closed,Alexis Williams,N/A,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
HHPL 141,1,Intro to Sport Management,Open,Aaron Livingston,N/A,"Tuesday, Thursday",2:10 PM - 3:30 PM
HHPL 141,2,Intro to Sport Management,Open,Jason Perry,BUR-2013,"Monday, Wednesday, Friday",10:10 AM - 11:00 AM
HHPL 141,3,Intro to Sport Management,Open,Jason Perry,BUR-2011,"Monday, Wednesday, Friday",9:10 AM - 10:00 AM
HHPL 145,1,Sports Marketing,Closed,Cathy Jerome,BUR-2013,Tuesday,6:10 PM - 8:30 PM
HHPL 147,1,Sports & Media,Closed,Alois Clemons,BUR-2013,"Tuesday, Thursday",12:40 PM - 2:00 PM
HHPL 147,2,Sports & Media,Open,Alois Clemons,BUR-2011,"Tuesday, Thursday",8:10 AM - 9:30 AM
